Year,GDP_Growth
1961,3.722742533
1962,2.931127735
1963,5.994353262
1964,7.452950123
1965,-2.63577011
1966,-0.05532877
1967,7.825963031
1968,3.387929176
1969,6.539700299
1970,5.157229737
1971,1.642930375
1972,-0.553301305
1973,3.295521135
1974,1.185336255
1975,9.149912016
1976,1.663103638
1977,7.254764588
1978,5.712532089
1979,-5.238182704
1980,6.735821529
1981,6.006203626
1982,3.47573324
1983,7.288892903
1984,3.820737856
1985,5.254299223
1986,4.776564168
1987,3.965355635
1988,9.627782916
1989,5.947343332
1990,5.533454561
1991,1.056831435
1992,5.48239602
1993,4.750776218
1994,6.65892407
1995,7.574491838
1996,7.549522249
1997,4.04982085
1998,6.184415822
1999,8.845755559
2000,3.840991157
2001,4.823966266
2002,3.803975321
2003,7.860381476
2004,7.922936612
2005,7.923430621
2006,8.060732572
2007,7.660815067
2008,3.086698059
2009,7.861888833
2010,8.497584702
2011,5.241316199
2012,5.456387552
2013,6.386106401
2014,7.410227605
2015,7.996253786
2016,8.256305502
2017,6.795383419
2018,6.453851345
2019,3.871436941
2020,-5.777724707
2021,9.689592492
2022,7.609364978
2023,9.19075493
2024,6.494765524
,
,
,
Data Source,World Development Indicators
,
Last Updated Date,12/19/2025
